state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Bihar,age_18_21,10,9.5199,32.7118,36.3323,33.0289,,34.5743,33.2825,44.599,39.7716,,,38.29,35.9797,15.4075,75.4783,75.4783,55.5815,44.4185,0.0,24.5217
Bihar,age_below10,10,93.9072,4.0656,3.2989,3.8584,,3.6463,3.9219,2.5308,2.8384,,,3.0589,3.4586,28.5651,71.0746,71.0746,88.4248,11.5752,0.0,28.9254
Sikkim,age_10_13,11,63.2077,2.8651,2.6703,2.8466,,4.2067,2.4979,0.4352,0.8694,,,1.5665,2.954,86.4823,9.5985,9.5985,16.4285,83.5715,0.0,90.4015
Sikkim,age_14_17,11,21.8472,27.8552,33.9695,27.4136,,26.2458,24.6369,10.9138,21.874,,,32.2173,25.3021,70.0163,16.5658,16.5658,15.2383,84.7617,0.0,83.4342
Sikkim,age_18_21,11,15.9001,35.376,37.3588,38.4976,,35.8863,37.545,42.5762,46.3239,,,41.3675,37.9554,42.6192,32.7973,32.7973,19.1407,80.8593,0.0,67.2027
Sikkim,age_below10,11,97.4865,2.3876,2.1226,1.9822,,2.2425,1.867,1.5144,2.0929,,,2.3128,2.1229,68.5347,30.7319,30.7319,78.5224,21.4776,0.0,69.2681
Arunachal Pradesh,age_10_13,12,58.5322,3.2047,2.9855,2.0744,,2.4911,2.1381,1.0221,1.8046,,,2.6537,2.3269,64.0556,31.5542,31.5542,36.969,63.031,0.0,68.4458
Arunachal Pradesh,age_14_17,12,19.989,25.9647,29.1479,22.6481,,22.521,22.1849,14.6809,24.4748,,,29.1667,22.5633,60.9862,24.5236,24.5236,30.9506,69.0494,0.0,75.4764
Arunachal Pradesh,age_18_21,12,14.4491,45.6508,46.0504,51.0523,,48.8934,49.7769,48.3586,49.6123,,,46.7807,48.1642,36.9123,32.9643,32.9643,37.3975,62.6025,0.0,67.0357
Arunachal Pradesh,age_below10,12,96.8331,3.4336,3.2421,2.7484,,2.5587,2.7063,2.2107,2.8549,,,3.1468,2.6139,42.4208,56.8533,56.8533,85.7353,14.2647,0.0,43.1467
Nagaland,age_10_13,13,36.9476,1.2432,0.9424,0.5248,,0.7245,0.5655,0.5449,0.6876,,,0.7588,0.7067,75.8155,19.8277,19.8277,25.6624,74.3376,0.0,80.1723
Nagaland,age_14_17,13,8.814,14.058,13.2992,10.6711,,11.4013,10.6125,9.6175,13.4995,,,14.4732,11.8087,70.5397,18.2221,18.2221,22.9692,77.0308,0.0,81.7779
Nagaland,age_18_21,13,6.7859,41.8872,42.3911,45.2718,,42.3634,43.7756,39.3152,44.1323,,,45.6612,42.0389,56.2239,22.8982,22.8982,26.105,73.895,0.0,77.1018
Nagaland,age_below10,13,93.1467,0.9882,0.9424,0.7673,,0.7961,0.806,1.0791,1.0842,,,0.9232,0.914,57.3384,41.1827,41.1827,79.4679,20.5321,0.0,58.8173
Manipur,age_10_13,14,39.7669,0.994,0.8201,0.6736,,1.1335,0.7258,0.4137,0.6403,,,0.7141,0.8702,83.867,14.7177,14.7177,21.8377,78.1623,0.0,85.2823
Manipur,age_14_17,14,7.7103,19.9449,18.0972,14.7536,,20.0476,14.9066,9.5189,16.9343,,,17.7407,16.7835,77.8518,17.1024,17.1024,16.5247,83.4753,0.0,82.8976
Manipur,age_18_21,14,5.467,44.2864,42.0859,42.1069,,41.4681,38.7849,36.3124,41.8549,,,42.2737,39.2025,63.1237,26.2696,26.2696,19.9031,80.0969,0.0,73.7304
Manipur,age_below10,14,93.8542,0.7546,0.7195,0.7351,,0.7444,0.6506,0.884,0.8394,,,0.8277,0.7776,64.4945,34.7689,34.7689,82.3064,17.6936,0.0,65.2311
Mizoram,age_10_13,15,58.3031,0.513,0.2119,0.3391,,0.7427,0.2892,0.0977,0.1951,,,0.2005,0.3022,87.7587,10.3726,10.3726,9.2854,90.7146,0.0,89.6274
Mizoram,age_14_17,15,15.1106,11.8588,9.7822,11.65,,16.089,9.9543,3.47,7.8986,,,11.7647,10.2676,66.9844,16.2524,16.2524,7.0199,92.9801,0.0,83.7476
Mizoram,age_18_21,15,14.4724,49.3965,49.1117,50.751,,50.9045,47.2068,38.6153,50.5488,,,50.6529,48.2389,39.5302,28.6452,28.6452,7.4018,92.5982,0.0,71.3548
Mizoram,age_below10,15,98.3437,0.3621,0.4333,0.54,,0.6569,0.4881,0.4996,0.615,,,0.6191,0.5576,64.9488,34.7534,34.7534,76.6879,23.3121,0.0,65.2466
Tripura,age_10_13,16,52.8776,2.2092,5.8009,1.8846,,5.1956,2.8655,0.782,2.0523,,,3.458,4.2355,81.2762,17.6929,17.6929,15.4022,84.5978,0.0,82.3071
Tripura,age_14_17,16,16.7428,24.6881,38.3848,23.0644,,30.8077,24.5679,12.4342,28.6305,,,34.2372,30.6534,65.0722,31.1067,31.1067,16.1746,83.8254,0.0,68.8933
Tripura,age_18_21,16,16.6317,50.7894,38.4985,52.4422,,42.4742,44.2922,41.0057,43.9902,,,40.5046,40.9428,33.1744,58.8639,58.8639,21.0916,78.9084,0.0,41.1361
Tripura,age_below10,16,98.2572,1.6509,2.0932,1.7541,,2.2114,1.6979,1.5689,1.8758,,,1.9404,2.0353,56.783,42.9871,42.9871,75.9546,24.0454,0.0,57.0129
Meghalaya,age_10_13,17,63.9047,1.052,1.0602,1.301,,1.6238,1.1604,0.5468,0.8792,,,1.2145,1.2767,69.2808,27.4173,27.4173,30.3334,69.6666,0.0,72.5827
Meghalaya,age_14_17,17,29.7576,17.0238,17.4545,15.2058,,17.5972,14.5862,8.0484,14.5726,,,17.9222,16.0811,63.398,23.7986,23.7986,22.2105,77.7895,0.0,76.2014
Meghalaya,age_18_21,17,24.121,50.3003,50.2463,49.5642,,46.4732,47.5047,41.1582,47.8425,,,49.5368,46.5242,45.4993,31.7739,31.7739,25.5279,74.4721,0.0,68.2261
Meghalaya,age_below10,17,95.2147,1.4145,1.3456,1.7963,,1.5746,1.5316,1.3671,1.481,,,1.6187,1.5175,44.9479,54.0565,54.0565,86.1179,13.8821,0.0,45.9435
Assam,age_10_13,18,39.8643,2.2993,3.1337,1.7731,,3.059,1.9119,0.7093,1.3851,,,2.5724,2.547,67.72,30.9878,30.9878,27.9565,72.0435,0.0,69.0122
Assam,age_14_17,18,12.4425,25.5016,29.3719,21.9841,,28.7518,21.624,13.7635,24.2621,,,29.2564,26.2085,55.9849,39.9434,39.9434,25.8867,74.1133,0.0,60.0566
Assam,age_18_21,18,11.7614,46.9185,44.339,46.197,,44.8828,44.4449,42.9807,46.5291,,,44.5317,44.2082,32.7642,59.6173,59.6173,30.8754,69.1246,0.0,40.3827
Assam,age_below10,18,95.6406,1.0242,1.1517,0.9728,,1.1429,0.9815,1.0549,1.1592,,,1.1638,1.1352,49.7348,49.9473,49.9473,80.8951,19.1049,0.0,50.0527
West Bengal,age_10_13,19,55.6529,6.1819,7.4633,6.4962,,9.7035,6.3569,1.0498,2.5339,,,4.8172,6.986,75.2174,23.0295,23.0295,19.367,80.633,0.0,76.9705
West Bengal,age_14_17,19,20.2687,46.1876,47.3002,41.1092,,45.6868,39.9696,17.0563,34.9214,,,44.5361,40.9367,51.1757,42.782,42.782,22.366,77.634,0.0,57.218
West Bengal,age_18_21,19,20.3205,36.4886,33.6509,38.0267,,31.8229,34.4537,45.8632,43.0474,,,37.0412,34.8809,22.723,68.9123,68.9123,28.1521,71.8479,0.0,31.0877
West Bengal,age_below10,19,97.7387,1.2083,1.3476,1.5471,,1.9861,1.3449,0.9827,1.0138,,,1.1405,1.565,55.2257,44.5593,44.5593,76.7027,23.2973,0.0,55.4407
Jharkhand,age_10_13,20,46.5121,8.0406,7.9644,6.559,,9.0811,6.9467,2.4316,4.1459,,,6.1905,7.9272,57.2236,40.9258,40.9258,39.1907,60.8093,0.0,59.0742
Jharkhand,age_14_17,20,12.981,42.2928,44.2094,36.1243,,43.2912,37.7115,27.4001,38.1903,,,42.2651,41.1737,41.761,52.0351,52.0351,39.4418,60.5582,0.0,47.9649
Jharkhand,age_18_21,20,10.4415,37.3136,34.5424,41.5984,,34.9377,39.117,47.3053,41.8799,,,38.1394,36.4213,20.5077,69.1123,69.1123,48.1349,51.8651,0.0,30.8877
Jharkhand,age_below10,20,94.9918,3.4714,3.5579,3.4945,,3.6928,3.4452,2.1619,2.6278,,,2.9862,3.4235,39.2944,60.3648,60.3648,84.4811,15.5189,0.0,39.6352
State - ORISSA  21,age_10_13,21,35.1104,2.2478,3.3946,2.2997,,3.2874,2.3218,0.6174,1.1724,,,2.382,2.8345,67.6055,31.1915,31.1915,26.0426,73.9574,0.0,68.8085
State - ORISSA  21,age_14_17,21,11.6542,35.3838,37.206,33.6779,,36.9719,32.9555,15.6565,25.6614,,,33.9467,33.8944,41.5057,53.8898,53.8898,28.1293,71.8707,0.0,46.1102
State - ORISSA  21,age_18_21,21,12.0764,48.502,45.5651,49.398,,45.6037,46.2785,50.4974,50.8766,,,48.0002,46.1939,20.0059,72.6635,72.6635,31.6338,68.3662,0.0,27.3365
State - ORISSA  21,age_below10,21,96.6607,1.4882,1.7213,1.7338,,1.7768,1.5821,1.2767,1.4464,,,1.5196,1.6726,55.0512,44.7626,44.7626,79.0577,20.9423,0.0,55.2374
Chhattisgarh,age_10_13,22,52.5461,9.2122,7.7147,8.7648,,9.7594,8.7127,1.4927,2.6971,,,5.5066,8.0348,73.9287,23.2095,23.2095,17.2843,82.7157,0.0,76.7905
Chhattisgarh,age_14_17,22,14.603,42.3347,41.0781,37.8271,,40.2614,38.9502,18.1077,33.0449,,,40.018,37.8714,41.793,43.9352,43.9352,21.9473,78.0527,0.0,56.0648
Chhattisgarh,age_18_21,22,13.8215,38.4036,39.9821,41.5077,,38.0156,39.8284,54.0664,50.6626,,,43.1977,40.4529,18.8316,56.7749,56.7749,29.7989,70.2011,0.0,43.2251
Chhattisgarh,age_below10,22,98.4397,5.7804,5.0943,6.333,,5.9328,5.8768,2.1167,2.7594,,,3.778,5.1535,56.7661,42.8661,42.8661,78.1586,21.8414,0.0,57.1339
Madhya Pradesh,age_10_13,23,55.0027,12.7465,11.4485,13.5612,,14.3882,12.7357,2.7479,5.2726,,,8.7413,11.8941,71.5601,25.7856,25.7856,22.1534,77.8466,0.0,74.2144
Madhya Pradesh,age_14_17,23,16.5869,44.2294,44.3033,43.0004,,44.5597,42.4104,24.9479,39.1995,,,44.3979,41.9276,44.0912,45.2632,45.2632,26.653,73.347,0.0,54.7368
Madhya Pradesh,age_18_21,23,13.9106,33.9162,33.8928,34.1846,,31.1744,33.8697,50.4201,43.3725,,,36.6324,34.114,20.7881,60.4402,60.4402,36.0479,63.9521,0.0,39.5598
Madhya Pradesh,age_below10,23,97.6967,5.0882,4.5942,5.499,,5.1124,5.0393,1.9681,2.5324,,,3.3304,4.4404,51.9696,47.6949,47.6949,79.483,20.517,0.0,52.3051
Gujarat,age_10_13,24,38.8253,2.8282,3.8479,2.0932,,3.6704,3.2699,0.8382,1.7368,,,2.6947,2.9511,74.6295,23.5898,23.5898,18.023,81.977,0.0,76.4102
Gujarat,age_14_17,24,12.2314,23.5741,24.9999,21.886,,25.8234,23.1892,11.2064,18.3959,,,22.421,22.0732,45.0237,46.1274,46.1274,20.5072,79.4928,0.0,53.8726
Gujarat,age_18_21,24,11.7044,62.9938,57.7082,65.0785,,58.3393,59.4912,63.2676,62.5778,,,60.3585,58.7346,22.0598,62.8467,62.8467,25.384,74.616,0.0,37.1533
Gujarat,age_below10,24,98.0606,1.5429,1.8169,1.717,,1.8745,1.7954,1.062,1.3216,,,1.5257,1.6436,59.8785,39.9459,39.9459,76.3332,23.6668,0.0,60.0541
Daman & Diu,age_10_13,25,29.5196,2.5478,2.8755,1.6298,,3.5149,2.2891,0.5653,0.737,,,1.3786,2.2869,88.4515,9.9146,9.9146,6.8511,93.1489,0.0,90.0854
Daman & Diu,age_14_17,25,5.7399,27.3885,31.2395,31.6647,,33.8326,30.2128,13.6452,21.7276,,,26.9883,27.1642,53.2157,37.098,37.098,12.549,87.451,0.0,62.902
Daman & Diu,age_18_21,25,6.6636,57.9618,49.9721,53.2014,,49.1786,47.3514,58.2456,58.0189,,,55.7971,51.955,19.1442,65.0682,65.0682,19.1811,80.8189,0.0,34.9318
Daman & Diu,age_below10,25,98.4573,1.9108,1.5913,2.3283,,1.5944,1.482,1.2865,1.2677,,,1.0958,1.3889,73.3333,26.5214,26.5214,74.1913,25.8087,0.0,73.4786
Dadra & Nagar Haveli,age_10_13,26,39.0748,0.7674,2.6745,1.4322,,2.1267,1.5496,0.7861,1.1874,,,2.1396,1.9041,60.5911,32.7922,32.7922,34.4156,65.5844,0.0,67.2078
Dadra & Nagar Haveli,age_14_17,26,14.1251,29.264,31.8676,35.1808,,34.1987,32.203,12.9813,28.2019,,,29.7673,30.1745,34.0595,37.1097,37.1097,47.0443,52.9557,0.0,62.8903
Dadra & Nagar Haveli,age_18_21,26,13.1823,57.2027,52.8558,53.3978,,51.9383,52.9654,61.8021,55.9796,,,55.0415,52.7576,13.6934,47.9269,47.9269,53.0278,46.9722,0.0,52.0731
Dadra & Nagar Haveli,age_below10,26,97.7341,2.1277,2.1306,2.3201,,2.0339,2.2145,1.5723,1.6115,,,2.3001,1.9596,53.0665,46.3809,46.3809,82.8198,17.1802,0.0,53.6191
Maharashtra,age_10_13,27,33.6198,4.8201,4.4085,4.5708,,7.2936,4.5351,0.7697,1.5668,,,3.0085,4.5735,88.9064,9.3215,9.3215,6.3802,93.6198,0.0,90.6785
Maharashtra,age_14_17,27,7.5304,37.717,35.5103,37.1768,,39.8831,34.7395,15.2154,26.1266,,,32.0825,31.8006,65.7197,25.0682,25.0682,8.3952,91.6048,0.0,74.9318
Maharashtra,age_18_21,27,8.6241,47.6894,47.8017,48.8876,,41.1389,46.4891,55.494,54.7281,,,50.8983,46.1171,33.1959,46.8821,46.8821,13.8604,86.1396,0.0,53.1179
Maharashtra,age_below10,27,97.3769,2.6335,2.424,2.6393,,2.9721,2.4894,1.6367,2.0263,,,2.1006,2.4033,68.252,31.514,31.514,73.3446,26.6554,0.0,68.486
Andhra Pradesh,age_10_13,28,29.4716,10.9054,9.1339,11.5057,,12.3259,10.7564,1.9786,4.4567,,,6.8098,9.776,72.7457,19.2994,19.2994,18.7797,81.2203,0.0,80.7006
Andhra Pradesh,age_14_17,28,9.6507,45.3224,45.5451,41.9319,,42.1465,42.521,27.5562,40.993,,,43.6485,40.1911,44.1617,35.7351,35.7351,24.8481,75.1519,0.0,64.2649
Andhra Pradesh,age_18_21,28,10.1123,34.3412,34.9582,35.2461,,33.0036,34.4059,49.1283,40.2516,,,38.1009,35.7774,20.3173,51.1943,51.1943,34.1933,65.8067,0.0,48.8057
Andhra Pradesh,age_below10,28,95.5324,2.7533,2.2226,4.0534,,3.583,3.2811,1.5498,1.6976,,,1.841,2.9223,71.2397,27.8942,27.8942,72.2376,27.7624,0.0,72.1058
Karnataka,age_10_13,29,35.9418,6.788,5.0018,5.7335,,7.2419,5.5175,1.1214,2.6258,,,4.1763,5.4009,77.1259,18.5322,18.5322,15.1802,84.8198,0.0,81.4678
Karnataka,age_14_17,29,8.7557,33.7212,29.8144,31.7248,,33.0747,29.4712,16.5789,27.9981,,,29.4837,28.8967,49.7329,36.7291,36.7291,18.7168,81.2832,0.0,63.2709
Karnataka,age_18_21,29,9.1897,46.3684,47.4004,48.7453,,45.0177,45.7793,50.508,48.3058,,,47.419,45.8345,21.9697,56.5202,56.5202,24.8501,75.1499,0.0,43.4798
Karnataka,age_below10,29,97.5596,2.5139,2.1048,2.011,,2.2932,2.0735,1.3146,1.574,,,1.8013,2.002,61.6338,37.8662,37.8662,73.8402,26.1598,0.0,62.1338
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_10_13,30,25.4974,1.979,1.4514,2.1076,,4.4131,1.9732,0.2063,0.3209,,,0.9446,1.9443,92.0917,6.6593,6.6593,5.4018,94.5982,0.0,93.3407
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_14_17,30,4.6832,17.2734,13.8123,15.9489,,22.2017,11.8687,3.1102,6.1322,,,11.425,12.2548,72.6539,21.3516,21.3516,5.667,94.333,0.0,78.6484
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
