state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Graduate_share_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Chandigarh,age_10_13,04,46.5015,1.2584,0.937,1.4309,1.9121,12.2578,0.0,10.0545,89.9455,10.3457,87.7422
Chandigarh,age_14_17,04,7.4939,4.2444,2.7426,1.8077,6.7821,26.1667,0.0,10.5256,89.4744,19.3846,73.8333
Chandigarh,age_18_21,04,3.6839,31.5907,19.2382,1.8896,10.454,47.6564,0.0,12.7362,87.2638,37.2025,52.3436
Chandigarh,age_22_25,04,2.9485,67.3256,53.2719,,,,15.3299,16.984,83.016,,
Chandigarh,age_26_29,04,3.2557,85.8812,79.2318,,,,19.3489,25.8392,74.1608,,
Chandigarh,age_30_33,04,4.257,93.2382,91.7082,,,,16.5214,35.9766,64.0234,,
Chandigarh,age_34_plus,04,6.4145,82.2221,88.1671,,,,11.234,56.9721,43.0279,,
Chandigarh,age_below10,04,96.7199,0.0,0.0,1.0594,0.4556,28.022,0.0,73.9427,26.0573,27.5665,71.978
Uttarakhand,age_10_13,05,36.3059,1.4074,1.0161,4.1772,1.0872,7.2256,0.0,5.29,94.71,6.1384,92.7744
Uttarakhand,age_14_17,05,3.8251,4.923,3.1262,5.4684,7.8415,22.8147,0.0,5.1903,94.8097,14.9732,77.1853
Uttarakhand,age_18_21,05,2.34,38.2235,22.8254,4.6183,21.5704,52.5954,0.0,8.585,91.415,31.025,47.4046
Uttarakhand,age_22_25,05,2.9947,79.9265,62.01,,,,13.6777,15.7915,84.2085,,
Uttarakhand,age_26_29,05,5.0204,91.2023,82.173,,,,15.9988,29.2853,70.7147,,
Uttarakhand,age_30_33,05,8.2815,94.6824,91.8853,,,,12.7658,43.165,56.835,,
Uttarakhand,age_34_plus,05,13.9901,76.0588,82.6934,,,,6.2512,72.4294,27.5706,,
Uttarakhand,age_below10,05,95.6126,0.0,0.0,1.6487,0.5302,30.317,0.0,72.7331,27.2669,29.7867,69.683
Haryana,age_10_13,06,42.6535,2.3718,1.8689,1.3145,1.1409,8.8692,0.0,7.6905,92.3095,7.7283,91.1308
Haryana,age_14_17,06,7.0722,7.1906,4.7117,2.0702,5.896,26.4129,0.0,10.2846,89.7154,20.5169,73.5871
Haryana,age_18_21,06,5.53,44.8738,27.902,1.7595,14.5627,61.0878,0.0,16.727,83.273,46.5251,38.9122
Haryana,age_22_25,06,5.2127,83.3482,65.5258,,,,7.485,25.0557,74.9443,,
Haryana,age_26_29,06,6.3642,93.9474,84.9798,,,,9.1125,35.9208,64.0792,,
Haryana,age_30_33,06,8.3332,95.7074,92.8548,,,,6.3319,47.8666,52.1334,,
Haryana,age_34_plus,06,10.4128,79.6025,85.3347,,,,3.5519,80.6068,19.3932,,
Haryana,age_below10,06,96.8254,0.0,0.0,0.6123,0.4238,31.5213,0.0,74.1536,25.8464,31.0975,68.4787
NCT of Delhi,age_10_13,07,35.0624,1.3401,0.9519,0.502,0.3995,8.489,0.0,5.88,94.12,8.0895,91.511
NCT of Delhi,age_14_17,07,3.9737,4.8823,2.9981,0.6777,2.2257,21.0434,0.0,6.1394,93.8606,18.8177,78.9566
NCT of Delhi,age_18_21,07,2.6189,29.5965,18.0837,0.8599,4.7733,46.7383,0.0,8.5788,91.4212,41.965,53.2617
NCT of Delhi,age_22_25,07,2.408,66.8958,51.2795,,,,14.1997,13.3607,86.6393,,
NCT of Delhi,age_26_29,07,2.8691,85.2112,75.5725,,,,16.6398,20.3711,79.6289,,
NCT of Delhi,age_30_33,07,3.9649,93.2042,90.199,,,,13.2108,30.297,69.703,,
NCT of Delhi,age_34_plus,07,7.3763,78.9587,85.7593,,,,8.5983,59.309,40.691,,
NCT of Delhi,age_below10,07,95.8104,0.0,0.0,0.3288,0.2028,31.6953,0.0,73.4551,26.5449,31.4925,68.3047
Rajasthan,age_10_13,08,43.959,3.7159,2.6849,2.8358,5.2975,23.381,0.0,17.9984,82.0016,18.0835,76.619
Rajasthan,age_14_17,08,11.5602,15.3125,10.056,3.7013,22.158,48.3238,0.0,21.7625,78.2375,26.1659,51.6762
Rajasthan,age_18_21,08,10.0684,63.4698,43.69,2.5638,41.2112,75.5185,0.0,32.4194,67.5806,34.3072,24.4815
Rajasthan,age_22_25,08,11.1827,91.2118,79.1544,,,,7.1945,45.7111,54.2889,,
Rajasthan,age_26_29,08,14.5662,96.0666,91.2194,,,,9.6774,60.4477,39.5523,,
Rajasthan,age_30_33,08,18.046,96.3498,94.6626,,,,7.0461,70.8025,29.1975,,
Rajasthan,age_34_plus,08,22.7417,78.7433,85.0049,,,,3.4728,87.6104,12.3896,,
Rajasthan,age_below10,08,94.6217,0.0,0.0,0.7824,0.783,44.153,0.0,77.5842,22.4158,43.3701,55.847
Uttar Pradesh,age_10_13,09,40.8902,2.5514,1.8882,2.5112,1.8649,18.2104,0.0,14.2919,85.7081,16.3455,81.7896
Uttar Pradesh,age_14_17,09,5.7283,8.3863,5.5085,3.4013,7.1527,36.5823,0.0,15.8209,84.1791,29.4296,63.4177
Uttar Pradesh,age_18_21,09,3.365,48.0256,30.6248,3.1864,14.8918,61.9936,0.0,24.6314,75.3686,47.1018,38.0064
Uttar Pradesh,age_22_25,09,3.7944,88.2442,72.9547,,,,10.6566,40.0859,59.9141,,
Uttar Pradesh,age_26_29,09,4.6346,95.3832,88.5436,,,,12.8452,57.9399,42.0601,,
Uttar Pradesh,age_30_33,09,5.9897,96.4878,93.0767,,,,9.6747,69.3483,30.6517,,
Uttar Pradesh,age_34_plus,09,7.7943,81.2046,84.3756,,,,5.4046,85.3149,14.6851,,
Uttar Pradesh,age_below10,09,93.6946,0.0,0.0,1.2469,1.0857,43.5037,0.0,76.017,23.983,42.418,56.4963
Bihar,age_10_13,10,54.6718,2.8762,2.1821,2.2267,2.8023,26.7499,0.0,25.4874,74.5126,23.9476,73.2501
Bihar,age_14_17,10,14.4103,16.0035,9.3046,3.0875,11.58,44.5883,0.0,33.5344,66.4656,33.0083,55.4117
Bihar,age_18_21,10,12.9517,77.943,51.0505,2.816,29.7175,78.4735,0.0,54.6316,45.3684,48.756,21.5265
Bihar,age_22_25,10,16.7567,95.7928,86.0251,,,,3.6417,65.3193,34.6807,,
Bihar,age_26_29,10,18.7212,97.7683,94.2512,,,,3.872,71.1519,28.8481,,
Bihar,age_30_33,10,20.1566,97.2695,96.4012,,,,2.9385,74.7851,25.2149,,
Bihar,age_34_plus,10,20.8165,84.1272,88.1163,,,,2.4925,87.0102,12.9898,,
Bihar,age_below10,10,94.6965,0.0,0.0,1.0268,1.3199,50.8433,0.0,80.2279,19.7721,49.5234,49.1567
Sikkim,age_10_13,11,57.4751,1.8602,1.2407,9.19,1.947,7.0872,0.0,6.2305,93.7695,5.1402,92.9128
Sikkim,age_14_17,11,19.9477,12.2471,7.3171,10.3789,13.5914,23.8056,0.0,5.4366,94.5634,10.2142,76.1944
Sikkim,age_18_21,11,19.3182,45.9459,32.9687,7.2398,29.7134,54.4495,0.0,7.089,92.911,24.736,45.5505
Sikkim,age_22_25,11,22.6441,69.7997,59.8572,,,,4.1356,12.0977,87.9023,,
Sikkim,age_26_29,11,20.9549,77.5926,73.381,,,,10.3448,19.559,80.441,,
Sikkim,age_30_33,11,25.9036,84.9057,84.2818,,,,8.6747,25.4268,74.5732,,
Sikkim,age_34_plus,11,31.1327,75.0,80.8676,,,,5.3722,59.6816,40.3184,,
Sikkim,age_below10,11,95.9514,0.0,0.0,2.6658,1.0253,19.1388,0.0,71.5547,28.4453,18.1135,80.8612
Manipur,age_10_13,14,30.9737,1.734,1.2752,1.5664,1.3138,10.5356,0.0,9.7019,90.2981,9.2218,89.4644
Manipur,age_14_17,14,3.9987,7.1192,4.6023,2.6786,7.0536,20.5952,0.0,8.4524,91.5476,13.5417,79.4048
Manipur,age_18_21,14,4.8193,25.5698,17.5259,3.8303,20.0943,42.7225,0.0,11.9623,88.0377,22.6282,57.2775
Manipur,age_22_25,14,3.5705,49.2637,39.6947,,,,11.5641,13.4655,86.5345,,
Manipur,age_26_29,14,3.3748,68.8457,62.4302,,,,13.6653,17.5222,82.4778,,
Manipur,age_30_33,14,3.9048,80.8597,80.0078,,,,19.8095,20.354,79.646,,
Manipur,age_34_plus,14,7.202,76.8028,83.5653,,,,20.3937,53.3199,46.6801,,
Manipur,age_below10,14,90.7987,0.0,0.0,0.6801,0.5739,33.3262,0.0,75.8298,24.1702,32.7524,66.6738
Mizoram,age_10_13,15,25.0,2.5641,1.0101,3.3333,0.0,10.0,0.0,6.6667,93.3333,10.0,90.0
Mizoram,age_14_17,15,5.7143,23.0769,12.2449,14.2857,0.0,5.7143,0.0,0.0,100.0,5.7143,94.2857
Mizoram,age_18_21,15,9.5238,34.1463,18.018,0.0,17.3913,34.7826,0.0,8.6957,91.3043,17.3913,65.2174
Mizoram,age_22_25,15,4.6512,65.7143,39.1304,,,,20.9302,10.4167,89.5833,,
Mizoram,age_26_29,15,11.1111,86.0465,60.8333,,,,15.5556,6.25,93.75,,
Mizoram,age_30_33,15,3.0303,97.1429,83.3333,,,,21.2121,5.7143,94.2857,,
Mizoram,age_34_plus,15,15.4762,86.1702,90.0744,,,,11.9048,10.6383,89.3617,,
Mizoram,age_below10,15,92.0,0.0,0.0,0.0,0.0,29.0909,0.0,74.2268,25.7732,29.0909,70.9091
Tripura,age_10_13,16,33.5512,1.6271,1.2124,0.6657,0.4383,4.759,0.0,1.9557,98.0443,4.3207,95.241
Tripura,age_14_17,16,6.6675,12.4457,7.0237,1.2183,2.9926,21.6599,0.0,2.1382,97.8618,18.6672,78.3401
Tripura,age_18_21,16,11.2946,54.028,32.1347,1.5087,8.4013,61.8333,0.0,3.4606,96.5394,53.432,38.1667
Tripura,age_22_25,16,15.592,77.6587,56.2364,,,,3.1397,3.9744,96.0256,,
Tripura,age_26_29,16,21.4188,86.9251,73.8867,,,,4.2971,5.2193,94.7807,,
Tripura,age_30_33,16,25.583,89.405,86.0169,,,,3.7971,7.3084,92.6916,,
Tripura,age_34_plus,16,40.8587,68.9828,81.5126,,,,2.2342,28.8099,71.1901,,
Tripura,age_below10,16,97.639,0.0,0.0,0.3002,0.1787,27.1457,0.0,71.1925,28.8075,26.9671,72.8543
Meghalaya,age_10_13,17,48.1089,1.4315,1.0422,1.6352,1.5094,20.6289,0.0,16.8553,83.1447,19.1195,79.3711
Meghalaya,age_14_17,17,16.3823,11.6858,6.4545,3.1206,7.0922,30.7801,0.0,16.8794,83.1206,23.6879,69.2199
Meghalaya,age_18_21,17,11.5385,42.1341,24.1536,4.2135,11.236,48.0337,0.0,19.6629,80.3371,36.7978,51.9663
Meghalaya,age_22_25,17,12.3539,70.816,51.4305,,,,8.3472,29.9415,70.0585,,
Meghalaya,age_26_29,17,17.2549,81.4815,69.5761,,,,10.9804,34.8659,65.1341,,
Meghalaya,age_30_33,17,18.0516,87.415,82.619,,,,6.3037,40.6463,59.3537,,
Meghalaya,age_34_plus,17,23.8743,67.0017,80.0115,,,,7.0157,60.0084,39.9916,,
Meghalaya,age_below10,17,90.4632,0.0,0.0,0.8989,0.7865,45.5056,0.0,78.6131,21.3869,44.7191,54.4944
Assam,age_10_13,18,28.3492,1.8691,1.3083,2.2421,1.4646,12.2202,0.0,6.9801,93.0199,10.7556,87.7798
Assam,age_14_17,18,8.0206,8.687,5.2776,3.3721,7.0378,32.1593,0.0,8.3156,91.6844,25.1215,67.8407
Assam,age_18_21,18,10.314,46.644,27.233,2.7016,16.1586,65.9775,0.0,12.3393,87.6607,49.8189,34.0225
Assam,age_22_25,18,12.7671,74.2847,52.9606,,,,3.6586,16.6696,83.3304,,
Assam,age_26_29,18,15.8732,84.2911,69.705,,,,4.9724,22.6582,77.3418,,
Assam,age_30_33,18,18.3635,88.7881,82.5287,,,,4.7637,28.6692,71.3308,,
Assam,age_34_plus,18,30.9235,70.4396,81.0143,,,,3.046,52.8772,47.1228,,
Assam,age_below10,18,93.2597,0.0,0.0,1.1131,0.4555,31.8882,0.0,72.5628,27.4372,31.4326,68.1118
West Bengal,age_10_13,19,31.2608,2.2856,1.812,1.4949,1.4313,11.9046,0.0,7.3524,92.6476,10.4733,88.0954
West Bengal,age_14_17,19,11.4434,14.0477,8.0982,2.3091,7.5958,32.8441,0.0,10.2806,89.7194,25.2482,67.1559
West Bengal,age_18_21,19,16.7913,64.4907,38.9848,2.1077,16.156,69.8208,0.0,16.6632,83.3368,53.6648,30.1792
West Bengal,age_22_25,19,21.7849,86.4878,65.8399,,,,4.592,23.8355,76.1645,,
West Bengal,age_26_29,19,27.4398,91.9947,81.0296,,,,5.5576,32.5555,67.4445,,
West Bengal,age_30_33,19,31.2291,93.1617,89.8608,,,,4.6119,40.2905,59.7095,,
West Bengal,age_34_plus,19,39.3824,73.2226,83.5361,,,,2.8908,64.743,35.257,,
West Bengal,age_below10,19,93.7522,0.0,0.0,0.6746,0.4158,33.5032,0.0,72.095,27.905,33.0874,66.4968
Jharkhand,age_10_13,20,46.7836,2.3077,1.8023,3.3448,2.7962,17.9884,0.0,16.0736,83.9264,15.1922,82.0116
Jharkhand,age_14_17,20,9.9963,13.084,7.6241,4.3285,12.889,36.8803,0.0,22.3274,77.6726,23.9913,63.1197
Jharkhand,age_18_21,20,10.1363,70.0894,45.0923,2.7849,33.2374,73.9235,0.0,40.6599,59.3401,40.6861,26.0765
Jharkhand,age_22_25,20,12.9057,91.1194,79.1273,,,,5.3013,53.6399,46.3601,,
Jharkhand,age_26_29,20,15.0252,94.7998,89.7434,,,,6.9361,63.3828,36.6172,,
Jharkhand,age_30_33,20,16.7364,94.7974,94.0773,,,,5.5048,70.8197,29.1803,,
Jharkhand,age_34_plus,20,19.2944,78.2079,85.1314,,,,3.5822,86.1846,13.8154,,
Jharkhand,age_below10,20,95.8235,0.0,0.0,1.0778,0.8288,44.2123,0.0,77.4731,22.5269,43.3835,55.7877
Odisha,age_10_13,21,26.6325,1.6884,1.2708,1.5475,2.3723,14.1548,0.0,7.798,92.202,11.7825,85.8452
Odisha,age_14_17,21,7.6124,6.7801,4.3838,1.8534,14.9025,49.0444,0.0,11.655,88.345,34.1419,50.9556
Odisha,age_18_21,21,10.5255,42.6578,26.0439,1.1801,27.0979,82.0367,0.0,17.7121,82.2879,54.9388,17.9633
Odisha,age_22_25,21,13.3836,76.974,57.1772,,,,3.5483,23.2634,76.7366,,
Odisha,age_26_29,21,19.1544,88.3396,77.0556,,,,4.6655,31.6336,68.3664,,
Odisha,age_30_33,21,26.3322,91.6401,89.4877,,,,4.6384,41.8712,58.1288,,
Odisha,age_34_plus,21,39.812,76.6544,84.5799,,,,1.8924,70.0173,29.9827,,
Odisha,age_below10,21,95.2155,0.0,0.0,0.753,0.4714,30.9704,0.0,74.0699,25.9301,30.4991,69.0296
Chhattisgarh,age_10_13,22,42.8532,1.5151,1.2291,3.3672,1.6573,8.0906,0.0,5.739,94.261,6.4333,91.9094
Chhattisgarh,age_14_17,22,6.7591,5.3443,3.5858,5.4351,12.9916,27.7204,0.0,8.0884,91.9116,14.7288,72.2796
Chhattisgarh,age_18_21,22,7.2116,45.5464,29.0106,3.7403,36.0809,65.0956,0.0,12.8263,87.1737,29.0148,34.9044
Chhattisgarh,age_22_25,22,8.401,80.6331,67.5297,,,,5.0358,19.7828,80.2172,,
Chhattisgarh,age_26_29,22,11.6406,88.8353,84.2386,,,,8.7868,30.587,69.413,,
Chhattisgarh,age_30_33,22,17.6161,91.2684,91.4527,,,,7.6056,44.5807,55.4193,,
Chhattisgarh,age_34_plus,22,29.1703,74.2935,82.7394,,,,4.7376,75.9962,24.0038,,
Chhattisgarh,age_below10,22,97.7243,0.0,0.0,0.8524,0.3274,32.6613,0.0,74.4524,25.5476,32.3339,67.3387
Madhya Pradesh,age_10_13,23,38.1892,2.644,2.0638,2.2506,1.8445,8.8492,0.0,7.0699,92.9301,7.0047,91.1508
Madhya Pradesh,age_14_17,23,7.5871,10.4483,6.6695,3.4411,12.9586,31.1274,0.0,9.5467,90.4533,18.1688,68.8726
Madhya Pradesh,age_18_21,23,7.1796,57.7545,37.1847,2.72,32.8969,68.2582,0.0,19.1586,80.8414,35.3613,31.7418
Madhya Pradesh,age_22_25,23,8.8306,87.0346,73.0031,,,,6.3439,31.0431,68.9569,,
Madhya Pradesh,age_26_29,23,12.1619,93.493,86.656,,,,9.1503,44.7757,55.2243,,
Madhya Pradesh,age_30_33,23,15.8687,95.1336,92.5309,,,,7.6743,56.4738,43.5262,,
Madhya Pradesh,age_34_plus,23,22.4752,78.5446,84.139,,,,4.7567,79.5262,20.4738,,
Madhya Pradesh,age_below10,23,95.8869,0.0,0.0,0.8319,0.4954,32.7985,0.0,73.6496,26.3504,32.3031,67.2015
Gujarat,age_10_13,24,24.4162,2.9511,2.3034,1.4115,2.0026,11.5839,0.0,4.5528,95.4472,9.5813,88.4161
Gujarat,age_14_17,24,6.1369,8.1879,5.6553,2.2232,12.6149,41.8544,0.0,5.6177,94.3823,29.2395,58.1456
Gujarat,age_18_21,24,6.7992,36.7918,24.2326,2.5329,21.8098,66.8066,0.0,8.5361,91.4639,44.9968,33.1934
Gujarat,age_22_25,24,8.1227,73.9351,58.2129,,,,8.1953,13.0069,86.9931,,
Gujarat,age_26_29,24,10.896,88.436,79.0832,,,,11.0281,18.6709,81.3291,,
Gujarat,age_30_33,24,14.4872,92.8504,88.768,,,,8.521,25.9931,74.0069,,
Gujarat,age_34_plus,24,27.1103,77.8307,83.9369,,,,5.0062,55.7775,44.2225,,
Gujarat,age_below10,24,94.3492,0.0,0.0,0.6946,0.452,27.7,0.0,71.5273,28.4727,27.248,72.3
Daman & Diu,age_10_13,25,18.552,0.7273,0.8591,1.7699,0.0,3.5398,0.0,2.2124,97.7876,3.5398,96.4602
Daman & Diu,age_14_17,25,1.0101,4.5752,2.7322,0.0,1.9802,9.901,0.0,1.9802,98.0198,7.9208,90.099
Daman & Diu,age_18_21,25,1.5625,24.1107,13.9405,0.0,4.5113,28.5714,0.0,3.7594,96.2406,24.0602,71.4286
Daman & Diu,age_22_25,25,4.1958,64.4628,42.2222,,,,9.0909,2.0548,97.9452,,
Daman & Diu,age_26_29,25,2.4735,82.0175,65.0424,,,,14.4876,5.0336,94.9664,,
Daman & Diu,age_30_33,25,5.4348,90.8163,87.3921,,,,10.5072,6.1224,93.8776,,
Daman & Diu,age_34_plus,25,24.0964,68.7845,80.1551,,,,4.0964,23.5727,76.4273,,
Daman & Diu,age_below10,25,93.3824,0.0,0.0,0.8299,0.0,24.4813,0.0,69.161,30.839,24.4813,75.5187
Dadra & Nagar Haveli,age_10_13,26,19.3277,2.0339,1.6529,0.8097,1.2146,6.8826,0.0,3.6437,96.3563,5.668,93.1174
Dadra & Nagar Haveli,age_14_17,26,3.211,6.8966,3.5294,1.8018,2.2523,18.018,0.0,1.8018,98.1982,15.7658,81.982
Dadra & Nagar Haveli,age_18_21,26,3.2609,59.5455,33.7058,2.0619,9.2784,56.701,0.0,5.1546,94.8454,47.4227,43.299
Dadra & Nagar Haveli,age_22_25,26,3.4014,87.7395,62.963,,,,10.2041,5.7692,94.2308,,
Dadra & Nagar Haveli,age_26_29,26,2.974,93.3036,82.7184,,,,15.6134,9.1216,90.8784,,
Dadra & Nagar Haveli,age_30_33,26,7.4236,93.2271,91.5619,,,,12.6638,8.7649,91.2351,,
Dadra & Nagar Haveli,age_34_plus,26,20.6677,79.2035,87.871,,,,4.9285,30.4204,69.5796,,
Dadra & Nagar Haveli,age_below10,26,94.6154,0.0,0.0,0.4202,0.0,32.7731,0.0,74.7082,25.2918,32.7731,67.2269
Maharashtra,age_10_13,27,32.1707,3.7046,3.1122,2.0496,1.4431,6.7822,0.0,4.2656,95.7344,5.3391,93.2178
Maharashtra,age_14_17,27,4.2269,10.4878,6.897,2.8979,8.1876,21.2272,0.0,4.4909,95.5091,13.0396,78.7728
Maharashtra,age_18_21,27,5.0632,48.7953,28.7865,3.2619,22.1689,52.9607,0.0,6.2717,93.7283,30.7918,47.0393
Maharashtra,age_22_25,27,6.6429,76.9184,57.5101,,,,10.2978,9.2833,90.7167,,
Maharashtra,age_26_29,27,9.4922,85.8098,76.1813,,,,13.4466,14.0066,85.9934,,
Maharashtra,age_30_33,27,14.2599,89.1012,88.1332,,,,11.1314,21.5499,78.4501,,
Maharashtra,age_34_plus,27,27.1737,72.705,82.3643,,,,6.3859,52.7666,47.2334,,
Maharashtra,age_below10,27,95.8137,0.0,0.0,1.2614,0.719,28.9477,0.0,72.8935,27.1065,28.2287,71.0523
Andhra Pradesh,age_10_13,28,18.4942,2.036,1.5027,1.4795,3.5667,9.2348,0.0,5.7686,94.2314,5.6681,90.7652
Andhra Pradesh,age_14_17,28,2.6014,8.8061,5.2425,2.5326,16.5278,27.4709,0.0,7.8082,92.1918,10.9431,72.5291
Andhra Pradesh,age_18_21,28,3.7521,50.7047,30.7459,3.0235,36.1081,59.4239,0.0,15.1026,84.8974,23.3159,40.5761
Andhra Pradesh,age_22_25,28,5.5996,79.6362,63.8566,,,,13.3941,25.983,74.017,,
Andhra Pradesh,age_26_29,28,9.0389,87.9359,82.0764,,,,14.1566,41.5157,58.4843,,
Andhra Pradesh,age_30_33,28,11.4557,88.9659,90.072,,,,10.9534,51.7921,48.2079,,
Andhra Pradesh,age_34_plus,28,16.0454,70.357,80.9584,,,,7.6451,76.9154,23.0846,,
Andhra Pradesh,age_below10,28,91.6194,0.0,0.0,0.8432,0.7051,25.3256,0.0,71.9371,28.0629,24.6205,74.6744
Karnataka,age_10_13,29,28.4413,2.6611,1.8972,1.8704,3.7031,12.3712,0.0,7.6624,92.3376,8.668,87.6288
Karnataka,age_14_17,29,4.2954,10.3929,6.1331,2.8343,17.9988,35.3001,0.0,10.2361,89.7639,17.3013,64.6999
Karnataka,age_18_21,29,5.316,48.9055,28.896,3.0733,35.2565,67.3231,0.0,16.8397,83.1603,32.0666,32.6769
Karnataka,age_22_25,29,7.1549,78.0474,58.2423,,,,9.2737,24.1025,75.8975,,
Karnataka,age_26_29,29,10.715,86.5444,76.1736,,,,10.2934,36.0741,63.9259,,
Karnataka,age_30_33,29,13.8843,88.8244,87.5633,,,,8.8476,46.7401,53.2599,,
Karnataka,age_34_plus,29,20.3391,70.1893,81.2731,,,,5.2835,74.4227,25.5773,,
Karnataka,age_below10,29,95.4236,0.0,0.0,1.0016,0.7351,34.4855,0.0,73.5292,26.4708,33.7503,65.5145
Goa,age_10_13,30,32.5843,1.9569,1.7493,3.3453,0.9558,8.1243,0.0,4.3011,95.6989,7.1685,91.8757
Goa,age_14_17,30,2.904,8.5578,5.6126,3.5539,5.0245,18.3824,0.0,2.9412,97.0588,13.3578,81.6176
Goa,age_18_21,30,2.0408,31.8091,20.6388,6.9114,11.6631,42.9806,0.0,4.7516,95.2484,31.3175,57.0194
Goa,age_22_25,30,3.9384,55.3743,41.6309,,,,12.0719,6.7093,93.2907,,
Goa,age_26_29,30,6.77,71.0298,61.412,,,,14.7635,10.6414,89.3586,,
Goa,age_30_33,30,7.7869,82.9545,77.7826,,,,10.041,14.6853,85.3147,,
Goa,age_34_plus,30,21.6884,67.776,79.0541,,,,6.006,40.275,59.725,,
Goa,age_below10,30,95.0758,0.0,0.0,2.6236,0.7064,28.8597,0.0,72.2835,27.7165,28.1534,71.1403
Kerala,age_10_13,32,20.1825,1.3305,0.933,0.7322,0.2722,2.6035,0.0,1.2425,98.7575,2.3313,97.3965
